,man,e000,
,boy,e001,
,boys,e002,
,father,e003,
,son,e004,
,sons,e005,
,brother,e006,
,brothers,e007,
,woman,e008,
,girl,e009,
,girls,e00a,
,mother,e00b,
,daughter,e00c,
,daughters,e00d,
,sister,e00e,
,sisters,e00f,
,marriage,e010,
,wedding,e011,
,husband,e012,
,groom,e013,
,wife,e014,
,bride,e015,
,widow,e016,
,inheritance,e017,
,heir,e018,
,generation,e019,
,compassion,e01a,
,love,e01a,
,enmity,e01b,
,hate,e01b,
,kind_nice,e01c,
,kindness,e01c,
,mercy,e01d,
,hungry,e01e,
,grace,e01f,
,desire,e020,
,like,e020,
,want,e020,
,will,e020,
,choose,e021,
,covet,e022,
,envy,e022,
,trust,e023,
,friend,e024,
,enemy,e025,
,reconcile,e026,
,adultery,e027,
,king,e028,
,lord,e028,
,master,e028,
,ruler,e028,Matt  9:18
,money,e029,
,wealth,e029,
,wealthy,e029,
,wrath_of_God,e02a,
,tax,e02b,
,redeem,e02c,
,redemption,e02c,Luke 2:38
,reward,e02d,
,market_place,e02e,
,kingdom,e02f,
,oil,e030,
,honor,e031,
,dominion,e032,
,anointed,e033,
,authority,e034,
,profit,e035,
,God,e036,Gen 1:1
,Jesus,e037,Matt 1:1
,cross,e038,
,mustard,e039,
,offering,e03a,
,priest,e03b,
,crucify,e03c,
,temple,e03d,
,persecute,e03e,
,persecution,e03e,
,tribulation,e03e,
,confession,e03f,
,mouth,e03f,
,said,e03f,
,speak,e03f,
,beckon,e040,Luke 5:7
,call,e040,
,appointed,e041,
,voice,e042,
,unleavened,e043,
,thunder,e044,
,tongue,e045,
,salt,e046,
,sigh,e047,
,spit,e048,
,continue,e049,
,repeat,e049,
,times,e049,
,allow,e04a,
,permission,e04a,
,permit,e04a,
,dignify,e04b,
,exalt,e04b,
,praise,e04b,
,worship,e04b,
,teach,e04c,
,teaching,e04c,
,preach,e04d,
,preaching,e04d,
,obedience,e04e,
,obey,e04e,
,name,e04f,
,mute,e050,
,greeting,e051,
,honey,e052,
,eat,e053,
,food,e053,
,meal,e053,
,feast,e054,
,accuse,e055,
,criticize,e055,
,revile,e055,1 Cor 4:12
,afraid,e056,
,fear,e056,
,worry,e056,
,argument,e057,
,command,e058,
,insist,e058,
,explain,e059,
,explanation,e059,
,curse,e05a,
,blaspheme,e05b,
,blasphemy,e05b,
,insult,e05b,
,bless,e05c,
,blessing,e05c,
,bread,e05d,
,loaf,e05d,
,pray,e05e,
,prayer,e05e,
,ashamed,e05f,
,rebuke,e060,
,ask,e061,
,questioned,e061,
,know,e062,
,knowledge,e062,
,understand,e063,
,understanding,e063,
,wisdom,e064,
,wise,e064,
,humiliate,e065,
,shame,e065,
,because,e066,
,purpose,e066,Rom 8:28
,reason,e066,
,therefore,e066,
,why,e067,
,how,e068,
,stranger,e069,
,perceive,e06a,
,plan,e06b,
,mind,e06c,
,think,e06c,
,think_opinion,e06c,
,think_wonder,e06c,
,thought,e06c,
,lunatic,e06d,
,ignorance,e06e,
,ignorant,e06e,
,believe,e06f,
,faith,e06f,
,assurance,e070,
,confidence,e070,
,hand,e071,
,gift,e072,
,stop,e073,
,search,e074,
,send,e075,
,create,e076,
,make,e076,
,sew,e077,
,needle,e078,
,shade,e079,
,share,e07a,
,steal,e07b,
,stewardship,e07c,
,sow,e07d,
,to_plant,e07d,
,put,e07e,
,put_verb,e07e,Gen 3:15
,have_to,e07f,
,need,e07f,
,go_down,e080,
,lower_verb,e080,
,lift,e081,
,harvest,e082,
,have,e083,
,heal,e084,
,hide,e085,
,for,e086,
,give,e086,
,blood,e087,
,bring,e088,
,carry,e088,
,take,e088,
,lost,e089,
,strong,e08a,
,wash,e08b,
,do,e08c,
,work,e08c,
,use,e08d,
,useful,e08d,
,serve,e08e,
,lawlessness,e08f,
,sin,e08f,
,sinful,e08f,
,unrighteous,e08f,Matt 5:45
,unrighteousness,e08f,
,righteous,e090,
,righteousness,e090,Matt 5:20
,prepare,e091,
,easy,e092,
,difficult,e093,
,pretend,e094,
,miracle,e095,
,good,e096,
,fragrant,e097,
,perfume,e097,
,possible,e098,
,keep,e099,
,correct,e09a,
,yes,e09a,
,value,e09b,
,worth,e09b,
,worthy,e09b,
,true,e09c,
,truth,e09c,
,fix,e09d,
,better,e09e,
,alive,e09f,
,life,e09f,
,live,e09f,
,Succoth_city,e0a0,Josh 13:27
,building,e0a1,
,country,e0a2,
,nation,e0a2,
,governor,e0a3,
,proconsul,e0a3,Acts 13:12
,abomination,e0a4,
,pregnant,e0a5,
,baby,e0a6,
,angel,e0a7,
,watchman,e0a8,
,sign,e0a9,
,Abimelech,e0ab,Gen 26:1
,Oholibamah_man,e0ac,Gen 36:41
,Timna_man,e0ad,Gen 36:22
,Tebah,e0b0,Gen 22:24
,teeth,e0b1,
,bone,e0b2,
,leaf,e0b3,
,vendor,e0b4,
,sacrifice,e0b5,
,pigeon,e0b6,
,number,e0b7,
,census,e0b8,
,synagogue,e0b9,
,Anah,e0ba,Gen 36:2
,Ahisamak,e0bb,Exod 31:6
,Asherah,e0bc,Exod 34:13
,Baal_Zephon,e0bd,Exod 14:2
,bell,e0be,
,Bezalel,e0bf,Exod 31:2
,Tola,e0c0,Gen 46:13
,guard,e0c1,
,light,e0c2,
,star,e0c3,
,summer,e0c4,
,Jonah,e0c5,Jonah 1:1
,Nineveh,e0c6,Gen 10:12
,Yahweh,e0c7,Exod 6:3
,stomach,e0c8,
,Sheol,e0c9,2 Sam 22:6
,Elim,e0ca,Exod 15:27
,Gershom,e0cb,Exod 2:22
,Jethro,e0cc,Exod 18:1
,Marah,e0cd,Exod 15:23
,Migdol,e0ce,Exod 14:2
,Oholiab,e0cf,Exod 31:6
,Zephon,e0d0,Num 26:15
,hell,e0d1,Deut 32:22
,fulfill,e0d2,
,neck,e0d3,
,alabaster,e0d4,
,jar,e0d5,
,pour,e0d6,
,bury,e0d7,
,remember,e0d8,
,level,e0d9,
,stair,e0d9,
,Pi_Hahiroth,e0da,Exod 14:2
,Pithom,e0db,Exod 1:11
,Puah_woman,e0dc,Exod 1:15
,Rephidim,e0dd,Exod 17:1
,Shiphrah,e0de,Exod 1:15
,Shuni,e0e0,Gen 46:16
,break,e0e1,
,Psalm,e0e2,1 Chr 16:7
,sing,e0e2,
,song,e0e2,
,hymn,e0e3,Matt 26:30
,beat,e0e4,
,hit,e0e4,
,deny,e0e5,
,weigh,e0e6,
,weight,e0e6,
,heavy,e0e7,
,kiss,e0e8,
,robber,e0e9,
,thief,e0e9,
,Sin,e0ea,Ezek 30:15
,Thummim,e0eb,Exod 28:30
,Akbor,e0ed,Gen 36:38
,Iob,e0ee,Gen 46:13
,Ashur_land,e0ef,Josh 17:7
,young,e0f1,
,cold,e0f2,
,right,e0f3,
,left,e0f4,
,deserve,e0f5,
,earn,e0f5,
,courtyard,e0f6,
,council,e0f7,
,Simon_the_Leper,e0f8,Mark 14:3
,Jew,e0f9,Esth 2:5
,Jewish,e0f9,Titus 1:14
,Aran,e0fa,Gen 36:28
,Abimael,e0fb,Gen 10:28
,Aiah,e0fd,Gen 36:24
,Adbeel,e0fe,Gen 25:13
,Ard,e0ff,Gen 46:21
,amen,e100,
,find,e101,
,animal,e102,
,beast,e103,
,dog,e104,
,thing,e105,
,or,e106,
,before,e107,
,gathered,e108,
,gathered_things,e108,
,together_things,e108,
,what,e109,
,under,e10a,
,pass,e10b,
,through,e10b,
,touch,e10c,
,side,e10d,
,slave,e10e,
,soul,e10f,
,above,e110,
,over,e110,
,if,e111,
,in_front,e112,
,on,e113,
,on_top_of,e113,
,everything,e114,
,catch,e115,
,behind,e116,
,beside,e117,
,between,e118,
,bottom,e119,
,but,e11a,
,about,e11b,
,and,e11c,
,after,e11d,
,away,e11e,
,person,e11f,
,big,e120,
,lie_down,e121,
,rest,e121,Matt 11:28
,sleep,e121,
,bed,e122,
,mattress,e122,
,peace,e123,
,ability,e124,
,can,e124,Gen 4:13
,power,e124,
,them,e125,
,they,e125,
,gathered_people,e126,
,together_people,e126,
,people,e127,
,crowd,e128,
,multitude,e128,
,world,e129,
,tax_collector,e12a,
,teacher,e12b,
,author,e12c,
,scribe,e12c,Acts 2:4
,writer,e12c,
,deacon,e12d,
,servant,e12d,
,shoe,e12e,
,soldier,e12f,
,godly,e130,
,righteous_person,e130,Matt 13:43
,saint,e130,
,paralyze,e131,
,shoulder,e132,
,farmer,e133,
,sower,e133,
,preacher,e134,
,prophet,e135,
,messenger,e136,
,lead,e137,
,leader,e137,
,manage,e137,
,kneel,e138,
,harvester,e139,
,help,e13a,
,hire,e13b,
,holy,e13c,
,foot,e13d,
,follow,e13e,
,evangelist,e13f,
,everyone,e140,
,destroy,e141,
,destruction,e141,
,kill,e141,
,disciple,e142,
,body,e143,
,doctor,e144,
,healer,e144,
,prisoner,e145,
,crush,e146,
,clothe,e147,
,to_clothe,e147,
,army,e148,
,cohort,e148,
,shout,e149,
,amazed,e14a,
,amazing,e14a,Esth 1:1
,great,e14a,
,boast,e14b,
,pride,e14b,
,proud,e14b,
,staff,e14c,
,ocean,e14d,
,sea,e14d,
,arm,e14e,
,carpenter,e14f,
,attendant,e150,
,helper,e150,
,sinner,e151,
,deceiver,e152,
,hypocrite,e152,
,earth,e153,
,ground,e153,
,land,e153,
,space,e153,
,grow,e154,
,growth,e154,
