,Aaron,,eb0d,"man: voice: mouth,said,speak,confession: ear,hear"
,Abaddon,Appolyon Abaddon,ecd7,"Man: kill,destroy,destruction: knife,cut: very: person"
,Abarim,,e38b,"Through,pass: thing: forward,to: mountain"
,Abdon_man,,e51c,man: or: soft
,Abdon_village,,e605,"serve: love,compassion: work,do: good: village: many,much: neighbor: house: near,close"
,Abeizer,,e557,"save,rescue: very: help: straight: people: land,ground,earth,space"
,Abel,,ea96,man: good
,Abel_Beth_Maakah,,e5cb,"cry: sad,grieve: water,wet: village: many,much: neighbor: house: near,close"
,Abel_Keramim,,e558,"vine: small,few: up: tree,plant,wood: land,ground,earth,space"
,Abel_Meholah,,e5c3,"dance: walk: happy,joy: face: village: many,much: neighbor: house: near,close"
,Abel_Mizraim,,efa9,"Sad,grieve: village: many,much: neighbor: house: near,close"
,Abiasaph,,e2dd,"Man: together_people,gathered_people"
,Abiathar,,e35f,"man: harvest: hand: grain,wheat"
,Abida,,eef8,"Man: more: up: many,much: know,knowledge"
,Abidah,,e2f3,"Man: straight: know,knowledge"
,Abidan,,e1f7,Man: or
,abide,dwell abide,e17b,"house: alive,life,live: good: heart"
,Abiezer,,e464,"man: very: helper,attendant: person: help: straight: people"
,Abigail,,e5c4,"woman: old: no,not: new: happy,joy: face"
,Abihail,,e1f8,"Man: knife,cut: table"
,Abihu,,e2de,"Man:: small,few: quiet,silence"
,Abijah,,ea5b,"man: king,master,ruler,lord: love,compassion"
,Abilene,,ec4d,"grass: land,ground,earth,space"
,Abimael,,e0fb,"Man: no,not: king,master,lord,ruler: love,compassion"
,Abimelech,,e0ab,"Man: bad: no,not: good: lead,leader,manage: forward,to: person"
,Abinadab,,e4e6,"man: bring,carry,take: hand: thing"
,Abinoam,,e56b,man: member: house: people
,Abiram,,e480,"man: praise,exalt,dignify,worship: mouth,said,speak,confession: good"
,Abishag,,e4ac,woman: run: walk: very
,Abiud,,ea6a,"man: person: praise,exalt,dignify,worship: mouth,said,speak,confession: good"
,Abner,,e484,"man: cohort,army: soldier: person: war,fight,battle: many,much"
,abomination,,e0a4,"hate,enmity: love,compassion: no,not: thing"
,about,,e11b,thing
,above,over above,e110,up: thing
,Abraham,,e373,"man: many,much: man: love,compassion"
,Abram,,e1d1,"OT: man: man: love,compassion"
,Abronah,,e3d6,"Through,pass: thing: forward,to: above,over: land,ground,earth, space"
,Absalom,,e4ad,"man: no,not: war,fight,battle"
,Abyss,,ec4e,"no,not: end,finish: land,ground,earth,space"
,according_to,,e24d,"same,equal: mouth,said,speak,confession"
,accuse,criticize accuse revile,e055,"mouth,said,speak,confession: bad: no,not: good"
,Achaia,,eb7c,"very: pain,hurt: knife,cut: heart: land,ground,earth,space"
,Achaicus,,eca5,Man: cross: people
,Achan,,e4f5,"man: dead,death,die: no,not: no,not: heart"
,Achim,,ea6e,"man: plan: know,knowledge: pen,write"
,Achish,,e45e,"man: dust: small,few: part.some: land,ground,earth,space"
,Achor,,e4cc,"heart: bad: no,not: good: land,ground,earth,space"
