Aaron,eb0d,Acts 7:40
Abaddon,ecd7,Rev 9:11
Abarim,e38b,Num 27:12
Abel,ea96,Gen 25:4
Abel_Mizraim,efa9,Gen 50:11
Abiasaph,e2dd,Exod 6:24
Abiathar,e35f,Mark 2:26
Abida,eef8,Gen 25:4
Abidah,e2f3,Gen 25:4
Abidan,e1f7,Num 1:11
Abiezer,e464,Josh17:2
Abihail,e1f8,Num 3:35
Abihu,e2de,Exod 28:1
Abijah,ea5b,Luke 1:5
Abilene,ec4d,Luke 3:1
Abimael,e0fb,Gen 10:28
Abimelech,e0ab,Gen 26:1
Abiram,e480,Num 16:1
Abiud,ea6a,Matt 1:13
Abner,e484,1 Sam 14:50
Abraham,e373,Matt 1:1
Abram,e1d1,Gen 12:1
Abronah,e3d6,Num 33:34
Abyss,ec4e,Luke 8:31
Achaia,eb7c,Acts 18:12
Achaicus,eca5,1 Cor 16:17
Achim,ea6e,Matt 1:14
Achish,e45e,1 Sam 21:10
Adah,eda7,Gen 4:19
Adam,ec4f,Luke 3:38
Adbeel,e0fe,Gen 25:13
Addi,ec50,Luke 3:28
Admah,eda8,Gen 10:19
Admin,ec51,Luke 3:33
Adoni_Zedek,e427,Josh 10:1
Adramyttium,eb93,Acts 27:2
Adriatic_Sea,ec17,Acts 27:27
Adullam,efaa,Gen 38:1
Aeneas,ec2a,Acts 9:33
Aenon,eba1,John 3:23
Agabus,eb89,Acts 11:28
Agag,e3e0,Num 24:27
Agrippa,eb9d,Acts 25:13
Ahasuerus,e48f,Esth 1:1
Ahaz,ea61,Matt 1:9
Ahiezer,e2ab,Num 1:12
Ahihud,e3e1,Num 34:27
Ahiman,e2ac,Num 13:22
Ahimelech,e45f,1 Sam 21:1
Ahira,e2f4,Num 1:15
Ahiram,e3a1,Num 26:38
Ahisamak,e0bb,Exod 31:6
Ahuzzath,eda9,Gen 26:26
Ai,edaa,Gen 13:3
Aiah,e0fd,Gen 36:24
Aijalon,e428,Josh 10:12
Ain,e3e6,Num 34:11
Akan,efe5,Gen 36:27
Akbor,e0ed,Gen 36:38
Akkad,edab,Gen 10:10
Akrabbim,e3d7,Num 34:4
Akshaph,e43b,Josh 12:20
Alexander,ea14,Acts 19:33
Alexandria,eb5a,Acts 18:24
Allon_Bakuth,efab,Gen 35:8
Almodad,edac,Gen 10:26
Almon_Diblathaim,e3d8,Num 33:46
Alphaeus,ec24,Acts 1:13
altar,ea3c,Gen 8:20
Alush,e3d9,Num 33:13
Alvah,efe6,Gen 36:40
Alvan,efe8,Gen 36:23
Amalek_man,efe9,Gen 36:12
Amaziah,e450,2 Kgs 12:21
amazing,e14a,Esth 1:1
Amittai,e1cf,Jonah 1:1
Ammiel,e2ad,Num 13:12
Ammihud,e2ae,Num 1:10
Amminadab,ea51,Matt 1:4
Ammishaddai,e2af,Num 1:12
Ammon,edae,Gen 19:38
Amon,ea64,Matt 1:10
Amorites,edaf,Gen 10:16
Amos,ec47,Amos
Amphipolis,eb2e,Acts 17:1
Ampliatus,ebb9,Rom 16:8
Amram,e2df,Exod 6:18
Amraphel,edb1,Gen  14:1
Anah,e0ba,Gen 36:2
Anak,e2b0,Num 13:22
Anam,edb2,Gen 10:13
Ananias,eb65,Acts 23:2
Andrew,e357,Matt 4:18
Andronicus,ebba,Rom 16:7
Aner,edb3,Gen  14:13
Anna,eb02,Luke 2:36-38
Annas,eb63,Acts 4:6
Antichrist,ed0e,1 John 4:3
Antioch,eb58,Acts 6:5
Antipas,ec01,Rev 2:13
Antipatris,eb9a,Acts 23:31
Apelles,ebbb,Rom 16:10
Aphek,e43c,Josh 12:18
Apollonia,eb30,Acts 17:1
Apollos,eb3e,Acts 18:24
Apphia,ecf1,Phil 1:2
Apollyon,ecd7,Rev 9:11
Aquila,eb17,Acts 18:2
Ar,e3a2,Num 21:15
Arabia,eb77,Gal 1:17
Arad_man,e3a3,1 Chr 8:15
Arad_village,e3e7,Num 33:40
Aram_man,edb4,Gen 10:22
Aram_Naharaim,eb72,Gen 24:10
Aran,e0fa,Gen 36:28
