
aimer, like love
Anne, Annas Hannah
argent, silver money
Assur, Assyria Ashhur
autre, another other
bataille, fight battle
beaucoup, much many
bonne_nouvelle, gospel good_news
bouclier, breastplate shield
brûler, burnt burn
ciel, sky heaven
Clauda, Clauda Cauda
compréhension, meaning understanding
convoiter, lust covet
coupable, guilty sinful
devoir, owe have_to
division, split division
doux, gentle soft sweet
enseigner, teaching teach
épouse, bride wife
étranger, foreigner stranger sojourner
faire, do make
faux, wrong false
Gojim, Goiim Goyim
Golan, Gittaim Golan
graine, seed grain
habiller, to_clothe clothe
Jude, Jude Judas
justice, justice righteousness
Letuschim, Letush Letush
Leummim, Leummim Leum
manger, eat eat
mariage, wedding marriage
Marie, Miriam Mary
Massa, Massa Massah
mettre, put_verb put
mort, death dead
mûr, ripe mature
non, not no
nous, we us
pain, loaf bread
pensée, thought mind
permettre, permit allow
planter, plant to_plant
plat, platter dish
porte, gate door
porter, bear carry
prêcher, preaching preach
prier, prayer pray
rester, stay remain
rire, laughter laugh
saint, holy saint
Samuel, Samuel Shemuel
scellé, sealed seal
Schealthiel, Salathiel Shealtiel
seul, only alone
sourd, deaf mute
sur, on over
terre, land earth soil
trouver, hole find
vengeance, vengeance revenge
vivant, live alive
voler, fly steal
voleur, thief robber
voyage, trip journey
, ? manage . *
