
e01a, aimer compassion
e01b, haïr hostilité
e01c, gentillesse aimable_gentil
e020, aimer désirer vouloir volonté
e022, envie convoiter
e028, seigneur roi maître chef
e029, richesse argent riches
e02c, délivrance racheter
e03e, persécution persécuter tribulation
e03f, bouche confession dire parler
e040, appeler faire_signe
e049, répéter continuer multiplier
e04a, permission permettre permettre
e04b, exhalt honorer louange cult
e04c, enseigner enseigner
e04d, prêcher prêcher
e04e, obéir obéissance
e053, manger manger repas
e055, critiquer accuser injuriés
e056, peur effrayé inquiéter
e058, insister ordonner
e059, explication expliquer
e05b, blasphème blasphéme insulter
e05c, bénédiction bénir
e05d, pain pain
e05e, prier prier
e061, question demander
e062, connaissance savoir
e063, compréhension comprendre
e064, sage sagesse
e065, honte humilier
e066, dessein parce_que raison par_conséquent
e06c, pense pensée pense_opinion pense_étonnant pensée
e06e, ignorant ignorance
e06f, foi croire
e070, confiance assurance
e076, faire créer
e07d, planter semer
e07e, mettre mettre
e07f, avoir_besoin devoir
e080, abaisser_verb aller_en_bas
e086, donner pour
e088, porter apporter prendre
e08c, travail faire
e08d, utile utiliser
e08f, péché désordre coupable injust injustes
e090, justice juste
e097, parfum parfumé
e09a, oui correct
e09b, qui vaut valeur digne
e09c, vérité vrai
e09f, vie vivant vivant
e0a2, nation pays
e0a3, proconsul gouverneur
e0d9, escalier niveau
e0e2, chanter Psaume chanson
e0e4, frappé battre
e0e6, poids peser
e0e9, voleur voleur
e0f5, gagner mériter
e0f9, Judaïques Juif
e108, choses_rassemblées réuni choses_ensemble
e10b, à travers devant
e110, sur au dessus
e113, au_dessus_de sur
e121, repos se_coucher dormir
e122, matelas lit
e124, pouvez compétence pouvoir
e125, ils eux
e126, gens_ensemble rassemblé_des_gens
e128, miltitude foule
e12c, scribe auteur écrivain
e12d, serviteur diacre
e130, juste_person divin saint
e133, semeur fermier
e137, conducteur guider 
e141, destruction détruire tuer
e144, guérisseur docteur
e147, habiller habiller
e148, cohorte armée
e14a, incroyable étonné génial
e14b, orgueil braguer orgueilleux
e14d, mer océan
e150, assistant préposé
e152, hypocrite trompeur
e153, sol terre terre espace
e154, croissance pousser mûrir
e156, région_sauvage désert
e158, gentil étranger étranger
e15b, terraine boue terre
e15f, soleil jour
e162, révéler appaîrtre montrer
e166, moi je
e167, nous nous
e16a, quand temps
e16f, patience longue_patience patient
e176, parents famille
e177, adoption adopter
e178, tombeau tombe
e17b, habiter demeurer
e17c, non non
e17f, tromperie tromper faux égarer mensonge
e181, mort mort mourir
e183, tentation tenter
e184, cela autre
e185, silence se_taire
e186, chuchotement secret
e18f, pardon pardonner
e190, inutile futile
e193, désobéir désobéissance rébellion rejeter
e194, incrédulité douter
e195, trahison trahir
e196, courage courageux
e198, beaucoup beaucoup
e19b, petit peu
e19d, humilité s’humilier
e19e, prévenir attention
e1a2, jugement juge
e1a3, recevoir gain
e204, en_colère colère
e205, joie joyeux
e207, triste peiner
e209, en_bonne_sante santé
e20a, malade maladie
e20b, parti festival
e20e, reconnaissance reconnaissant merci
e214, sauver délivrénce
e215, maintenant immédiatement
e217, gloire glorifier
e219, fidélité fidèle
e221, scellé scellé
e222, souffrance souffrir
e223, seul seul
e224, rire rire
e225, plus_tard tard
e22a, apprendre livre lire
e22b, bonne_nouvelle bonne_nouvelle
e22c, Ecriture Bible Parole_de_Dieu
e22d, nouvelle message parabole rapport story
e22e, témoin témoignage
e22f, loi commandement légitime
e231, commencer commencement
e232, finir fin
e235, naître naissance
e236, mûr mûr
e238, voir oeil
e239, charnelle convoiter désir_sexuel
e23c, route sentier manière
e240, dedans dans
e241, dehors hors_de
e243, partir sortir quitter
e244, arbre planter bois
e247, mouillé eau
e248, pur nettoyer
e249, impur sale
e24a, baptiser baptême
e24b, même égal
e24e, couteau couper
e24f, douleur blesser
e250, circoncision circonciser
e251, entier tout
e252, éternel toujours éternité
e253, en_tissu vêtement
e25a, visite venir
e25f, lié appréhender chaîne détenu
e260, liberté libre
e26c, oreiller coussin
e26d, douceur doux
e272, nuit lune
e274, boire coupe
e279, blé graine
e283, bataille bataille guerre
e298, s’asseoir chaise
e299, ecouter oreille
e29b, quelques_uns portion
e29c, écrier enclos
e300, près fermer
e301, chaleur feu chaud
e309, odeur nez
e30b, risseau rivière
e30e, nouer noeud
e318, à en_avant
e31e, tourner changer
e31f, transfigurer transfiguration
e320, repentir se_ repentir
e321, profondeur profond
e322, monter s’élever
e326, division diviser séparé division
e329, résurrection réssusciter
e32a, dépenser acheter
e330, opposer contre
e334, Messie Christ
e335, Satan Béelzébul
e33f, Gadaréniens Gadaraéniens
e34b, Joda Golgotha
e354, Marie_mere_de_Jesus Marie
e356, Simon_Pierre Céphas
e35a, Jean_le_Disciple Jean
e368, Jude_non_pas_l’Iscariot Jude Jude
e381, voyage aller voyager voyage
e384, plat bol
e386, plat assiette
e390, pos 
e397, le_plus_petit le moindre
e83a, convertir devenir_personne
e83b, rester rester
ea16, tirant_au_sort sort
ea47, Simon Siméon
ea4a, beauté beau
ea67, Babylone Babel
ea7f, condamnation condamner
ea80, vision rêve
ea84, coupable culpabilité
eb02, Anne Anna
eb04, Matthias Matthieu
eb14, triomphe emporter victoire
eb32, tente tabernacle
eb5c, Mont_Sinaï Mont_Horeb
eb5d, Hamor Hémor
eb72, Mésopotamie Mésopotamia
eb7d, ailes aile
eb88, Kittim_îsle Chypre
eb90, Chrétien Croyant
eb91, champ ferme
ebc0, crédit dénombré imputé
ebdd, Aschchur Assur
ebe3, tambour cymbale
ebe7, ordre important priorité
ebe9, son bruit
ebf2, prochain autre
ec20, Sosipater Sopater
ec26, punition Moloc
ec33, secte religion
ec36, Clauda Clauda
ec44, Héli Eli
ec56, Kaïnam Cain Kénan
ec5c, Elischa Élisée
ec5f, Hénoc Hénoch
ec60, Enosch Énos
ec6f, Nethanieel Nathan
ec81, Pentecôte pentecôte
ec87, procès cause
eca7, mots_sévéres sévère
ecb8, Onésiphore Onésime
eccf, avoir soif soif
ecd0, brûler brûler
ecd7, Apollyon Abaddon
ece4, Épaphrodite Epaphras
ecec, perfect complet
ecee, respirer souffle
ecf0, patron exemple
ecfc, prostituée prostituée
ed00, type genre_même
ed01, tache défaut
ed0a, saut sauter
ed0c, vengeance venger vengeance
edca, Cush_ homme Cusch
edf9, Kadès_Barnéa Kadès
eeb9, goudron du_pois
eee2, Letuschim Letuschim
eee3, Leummim Leummim
